Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,124.0,-139.5,0.0,bottom
C10,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,146.93884,-102.0,180.0,top
C11,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,141.93884,-103.5,0.0,top
C12,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,146.43884,-81.0,180.0,top
C13,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.43884,-134.5,90.0,top
C14,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.43884,-121.0,180.0,bottom
C15,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,129.43884,-134.5,90.0,top
C16,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.43884,-123.5,180.0,bottom
C17,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.93884,-134.5,90.0,top
C18,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.93884,-134.5,90.0,top
C19,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.43884,-134.5,90.0,top
C2,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.93884,-135.0,270.0,bottom
C20,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.93884,-134.5,90.0,top
C21,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,142.43884,-134.5,90.0,top
C22,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.93884,-128.5,90.0,bottom
C3,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,167.43884,-136.0,180.0,bottom
C32,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.0,-45.0,0.0,bottom
C33,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.0,-48.01,0.0,bottom
C34,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.43884,-56.5,270.0,bottom
C35,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,161.5,-65.0,180.0,bottom
C36,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.43884,-93.49,0.0,bottom
C37,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.43884,-96.5,0.0,bottom
C4,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,153.43884,-128.5,270.0,bottom
C5,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,158.93884,-92.0,90.0,bottom
C6,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,152.43884,-115.0,0.0,bottom
C8,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,118.93884,-119.0,180.0,bottom
D1,ESD5Zxx,D_SOD-523,168.93884,-148.0,270.0,bottom
D2,ESD5Zxx,D_SOD-523,168.93884,-144.5,270.0,bottom
D3,ESD5Zxx,D_SOD-523,153.43884,-138.0,180.0,bottom
D4,MBR0530,D_SOD-123,136.43884,-99.5,180.0,top
D5,MBR0530,D_SOD-123,136.43884,-108.0,180.0,top
D6,MBR0530,D_SOD-123,136.43884,-103.5,0.0,top
J1,USB_C_Receptacle,USB_C_Receptacle_Amphenol_12401610E4-2A,162.03984,-144.745,0.0,bottom
J3,Conn_01x24,24pin0.5mm,138.93884,-127.65,0.0,bottom
J5,Conn_01x02,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,160.93884,-105.55,0.0,bottom
J7,Micro_SD_Card,microSD_HC_Hirose_DM3AT-SF-PEJM5,116.43884,-92.5,90.0,bottom
L1,68u,L_Changjiang_FNR6028S,133.5,-86.5,180.0,bottom
Q3,IRLML6402,SOT-23_Handsoldering,159.93884,-99.0,270.0,bottom
Q4,Si1308EDL,SOT-323_SC-70_Handsoldering,143.43884,-109.5,-90.0,top
Q5,AO3401A,SOT-23_Handsoldering,146.43884,-94.5,-90.0,top
Q6,SS8050,SOT-23,141.43884,-86.0,0.0,top
R1,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.0,-142.0,180.0,bottom
R10,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.93884,-124.0,180.0,bottom
R11,1.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.5,-127.0,0.0,top
R12,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.43884,-131.5,90.0,bottom
