"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
2;"J7";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
3;"SW3,SW7,SW5,SW4,SW2,SW1";"SW_SPST_TS-1088-xR025";6;"SW_Push";;;
4;"D3,D1,D2";"D_SOD-523";3;"ESD5Zxx";;;
5;"C2,C11,C10,C37,C15,C6,C13,C16,C14,C3,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";11;"4.7u";;;
6;"J5";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
7;"Q3";"SOT-23_Handsoldering";1;"IRLML6402";;;
8;"J1";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";;;
9;"J3";"24pin0.5mm";1;"Conn_01x24";;;
10;"U2";"VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm";1;"BQ24074RGT";;;
11;"R15,R17,R54,R55,R9,R53,R7,R8,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";9;"10k";;;
12;"C12,C8,C33,C18,C22,C5,C34,C20,C36,C19,C35,C21";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"0.1u";;;
13;"D4,D6,D5";"D_SOD-123";3;"MBR0530";;;
14;"Q4";"SOT-323_SC-70_Handsoldering";1;"Si1308EDL";;;
15;"R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3";;;
16;"Q5";"SOT-23_Handsoldering";1;"AO3401A";;;
17;"R20,R18,R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"47k";;;
18;"Q6";"SOT-23";1;"SS8050";;;
19;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
20;"L1";"L_0805_2012Metric_Pad1.05x1.20mm_HandSolder";1;"68u";;;
21;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470k";;;
22;"R12,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1M";;;
23;"R11,R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"1.1k";;;
24;"R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
25;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"890";;;
26;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1n";;;
27;"U3";"SOT-23-5_HandSoldering";1;"AP2112K-3.3";;;
28;"C4,C32";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22u";;;
29;"SW12,SW6";"SW_SPST_TS-1088-xR020";2;"SW_Push";;;
