Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",129.438840,-139.500000,180.000000,bottom
"C2","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.938840,-135.000000,-90.000000,bottom
"C3","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.438840,-136.000000,0.000000,bottom
"C4","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.438840,-128.500000,-90.000000,bottom
"C5","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.938840,-92.000000,90.000000,bottom
"C6","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.438840,-115.000000,180.000000,bottom
"C14","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.438840,-121.000000,0.000000,bottom
"C16","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",127.438840,-123.500000,0.000000,bottom
"C22","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.938840,-128.500000,90.000000,bottom
"C32","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.401340,-104.990000,180.000000,bottom
"C33","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.401340,-108.000000,180.000000,bottom
"C36","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.438840,-93.490000,180.000000,bottom
"C37","4.7u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",149.438840,-96.500000,180.000000,bottom
"D1","ESD5Zxx","D_SOD-523",168.938840,-148.000000,-90.000000,bottom
"D2","ESD5Zxx","D_SOD-523",168.938840,-144.500000,-90.000000,bottom
"D3","ESD5Zxx","D_SOD-523",153.438840,-138.000000,0.000000,bottom
"J1","USB_C_Receptacle","USB_C_Receptacle_Amphenol_12401610E4-2A",162.039840,-145.660000,180.000000,bottom
"J3","Conn_01x24","24pin0.5mm",138.938840,-129.500000,180.000000,bottom
"J5","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",161.938840,-105.550000,180.000000,bottom
"J7","Micro_SD_Card","microSD_HC_Wuerth_693072010801",116.438840,-92.500000,-90.000000,bottom
"Q3","IRLML6402","SOT-23_Handsoldering",159.938840,-99.000000,-90.000000,bottom
"R1","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.438840,-141.500000,0.000000,bottom
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.438840,-146.000000,-90.000000,bottom
"R3","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",124.938840,-146.000000,-90.000000,bottom
"R4","1.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.938840,-124.500000,90.000000,bottom
"R5","890","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.438840,-125.000000,0.000000,bottom
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",163.438840,-128.000000,0.000000,bottom
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.438840,-99.500000,90.000000,bottom
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.938840,-73.000000,-90.000000,bottom
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.438840,-74.000000,-90.000000,bottom
"R53","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.938840,-75.000000,-90.000000,bottom
"R54","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.438840,-76.500000,-90.000000,bottom
"R55","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",132.438840,-78.000000,-90.000000,bottom
"SW6","SW_Push","SW_SPST_TS-1088-xR020",150.938840,-58.000000,180.000000,bottom
"SW12","SW_Push","SW_SPST_TS-1088-xR020",165.438840,-58.000000,0.000000,bottom
"U2","BQ24074RGT","VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm",158.438840,-131.500000,180.000000,bottom
"U3","AP2112K-3.3","SOT-23-5_HandSoldering",152.438840,-120.500000,90.000000,bottom
"U4","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",125.638697,-61.301076,-135.000000,bottom
